subparam,unit1,value1,unit2,value2,modelname,modelid,specifications.topparam
Rops/Fops,,ROPS/FOPS meet ISO 3471:2008 (ROPS) and ISO 3449:2005 Level II (FOPS),,ROPS/FOPS meet ISO 3471:2008 (ROPS) and ISO 3449:2005 Level II (FOPS),986K Block Handler Arrangement,113253,Operator'S Cab
Note,,<ul><li>The operator sound pressure level was measured according to the test procedures and conditions specified in ISO 6396:2008. The measurement was conducted at 70 percent of the maximum engine cooling fan speed.</li><li>Hearing protection may be needed when the machine is operated with a cab that is not properly maintained or when the doors or windows are open for extended periods or in a noisy environment.</li><li>The machine sound power level was measured according to the test procedures and conditions specified in ISO 6395:2008. The measurement was conducted at 70 percent of the maximum engine cooling fan speed.</li></ul>,,<ul><li>The operator sound pressure level was measured according to the test procedures and conditions specified in ISO 6396:2008. The measurement was conducted at 70 percent of the maximum engine cooling fan speed.</li><li>Hearing protection may be needed when the machine is operated with a cab that is not properly maintained or when the doors or windows are open for extended periods or in a noisy environment.</li><li>The machine sound power level was measured according to the test procedures and conditions specified in ISO 6395:2008. The measurement was conducted at 70 percent of the maximum engine cooling fan speed.</li></ul>,986K Block Handler Arrangement,113253,Sound Performance - Standard
Operator Sound Level (Iso 6396),,72 dB(A),,72 dB(A),986K Block Handler Arrangement,113253,Sound Performance - Standard
Machine Sound Level (Iso 6395),,112 dB(A),,112 dB(A),986K Block Handler Arrangement,113253,Sound Performance - Standard
Note,,<ul><li>The operator sound pressure level was measured according to the test procedures and conditions specified in ISO 6396:2008. The measurement was conducted at 70 percent of the maximum engine cooling fan speed.</li><li>Hearing protection may be needed when the machine is operated with a cab that is not properly maintained or when the doors or windows are open for extended periods or in a noisy environment.</li><li>The machine sound power level was measured according to the test procedures and conditions specified in ISO 6395:2008. The measurement was conducted at 70 percent of the maximum engine cooling fan speed.</li></ul>,,<ul><li>The operator sound pressure level was measured according to the test procedures and conditions specified in ISO 6396:2008. The measurement was conducted at 70 percent of the maximum engine cooling fan speed.</li><li>Hearing protection may be needed when the machine is operated with a cab that is not properly maintained or when the doors or windows are open for extended periods or in a noisy environment.</li><li>The machine sound power level was measured according to the test procedures and conditions specified in ISO 6395:2008. The measurement was conducted at 70 percent of the maximum engine cooling fan speed.</li></ul>,986K Block Handler Arrangement,113253,Sound Performance - Suppression
Operator Sound Level (Iso 6396),,72 dB(A),,72 dB(A),986K Block Handler Arrangement,113253,Sound Performance - Suppression
Machine Sound Level (Iso 6395),,110 dB(A),,110 dB(A),986K Block Handler Arrangement,113253,Sound Performance - Suppression
Net Power,hp,699,kw,521.3,990K Millyard Arrangement,113254,Engine
Rated Speed,rpm,1800,rpm,1800,990K Millyard Arrangement,113254,Engine
Displacement,cu in,1649.5,L,27.1,990K Millyard Arrangement,113254,Engine
Torque Rise,%,18,%,18,990K Millyard Arrangement,113254,Engine
Bore,in,5.4,mm,137.2,990K Millyard Arrangement,113254,Engine
Stroke,in,6,mm,152.4,990K Millyard Arrangement,113254,Engine
Emissions,,U.S. EPA Tier 4 Final or Tier 2 equivalent,,U.S. EPA Tier 4 Final or Tier 2 equivalent,990K Millyard Arrangement,113254,Engine
Net Power - Sae J1349,hp,699,kw,521.3,990K Millyard Arrangement,113254,Engine
Engine Model,,Cat C27 ACERT,,Cat C27 ACERT,990K Millyard Arrangement,113254,Engine
"Peak Torque - 1,200 Rpm",lb ft,2624,Nm,3557.7,990K Millyard Arrangement,113254,Engine
Gross - Iso 14396,hp,752,kw,560.8,990K Millyard Arrangement,113254,Engine
Rated Speed - Gross - Iso 14396,hp,752,kw,560.8,990K Millyard Arrangement,113254,Engine
Rated Speed - Gross - Sae J1995,hp,766,kw,571.3,990K Millyard Arrangement,113254,Engine
Rated Speed - Net Power - Sae J1349 - Standard Ambient,hp,699,kw,521.3,990K Millyard Arrangement,113254,Engine
Rated Speed - Net Power - Sae J1349 - High Ambient,hp,648,kw,483.3,990K Millyard Arrangement,113254,Engine
Operating Weight,lb,202398,kg,91806.2,990K Millyard Arrangement,113254,Operational
Transmission Type,,Cat planetary power shift,,Cat planetary power shift,990K Millyard Arrangement,113254,Transmission
Forward - 1,mph,4.5,km/h,7.3,990K Millyard Arrangement,113254,Transmission
Forward - 2,mph,8.3,km/h,13.4,990K Millyard Arrangement,113254,Transmission
Forward - 3,mph,14.2,km/h,22.9,990K Millyard Arrangement,113254,Transmission
Note,,Travel speeds based on Michelin 45/65R39 LD D2**L5 tires.,,Travel speeds based on Michelin 45/65R39 LD D2**L5 tires.,990K Millyard Arrangement,113254,Transmission
Reverse - 1,mph,4.9,km/h,7.9,990K Millyard Arrangement,113254,Transmission
Reverse - 2,mph,9.1,km/h,14.7,990K Millyard Arrangement,113254,Transmission
Direct Drive - Forward 3,mph,15.2,km/h,24.5,990K Millyard Arrangement,113254,Transmission
Direct Drive - Reverse 3,mph,16.4,km/h,26.4,990K Millyard Arrangement,113254,Transmission
Direct Drive - Forward 2,mph,8.5,km/h,13.7,990K Millyard Arrangement,113254,Transmission
Direct Drive - Reverse 2,mph,9.6,km/h,15.5,990K Millyard Arrangement,113254,Transmission
Direct Drive - Forward 1,,Lock-up disabled,,Lock-up disabled,990K Millyard Arrangement,113254,Transmission
Direct Drive - Reverse 1,mph,5.4,km/h,8.7,990K Millyard Arrangement,113254,Transmission
Reverse - 3,mph,15.5,km/h,25,990K Millyard Arrangement,113254,Transmission
Front,,Fixed,,Fixed,990K Millyard Arrangement,113254,Axles
Rear,,Trunnion,,Trunnion,990K Millyard Arrangement,113254,Axles
Oscillation Angle,,8.5 degrees,,8.5 degrees,990K Millyard Arrangement,113254,Axles
Brakes,,"SAE J1473 OCT90, ISO 3450:1992",,"SAE J1473 OCT90, ISO 3450:1992",990K Millyard Arrangement,113254,Brakes
Tipping Load - Straight,lb,92990,kg,42179.6,990K Millyard Arrangement,113254,Operating Specifications
Tipping Load - Articulated 35 Degrees,lb,81896,kg,37147.5,990K Millyard Arrangement,113254,Operating Specifications
Cooling System,gal,54.9,L,207.9,990K Millyard Arrangement,113254,Service Refill Capacities
Fuel Tank,gal,294.3,L,1114.1,990K Millyard Arrangement,113254,Service Refill Capacities
Engine Crankcase,gal,20,L,75.8,990K Millyard Arrangement,113254,Service Refill Capacities
Transmission,gal,29.1,L,110.2,990K Millyard Arrangement,113254,Service Refill Capacities
Differential - Final Drives - Front,gal,71.6,L,271.1,990K Millyard Arrangement,113254,Service Refill Capacities
Differential - Final Drives - Rear,gal,68.9,L,260.9,990K Millyard Arrangement,113254,Service Refill Capacities
Hydraulic System Factory Fill,gal,210,L,795,990K Millyard Arrangement,113254,Service Refill Capacities
Hydraulic Tank - Implement And Hydraulic Fan,gal,68.9,L,260.9,990K Millyard Arrangement,113254,Service Refill Capacities
Hydraulic Tank - Steering And Braking,gal,34.9,L,132.2,990K Millyard Arrangement,113254,Service Refill Capacities
Raise,,9.4 s,,9.4 s,990K Millyard Arrangement,113254,Hydraulic Cycle Times
Dump,,2.9 s,,2.9 s,990K Millyard Arrangement,113254,Hydraulic Cycle Times
Lower Float Down,,3.6 s,,3.6 s,990K Millyard Arrangement,113254,Hydraulic Cycle Times
Rack Back,,4.8 s,,4.8 s,990K Millyard Arrangement,113254,Hydraulic Cycle Times
Lower,,3.7 s,,3.7 s,990K Millyard Arrangement,113254,Hydraulic Cycle Times
Lift/Tilt System - Circuit,,Positive flow control,,Positive flow control,990K Millyard Arrangement,113254,Hydraulic System - Lift/Tilt
Relief Valve Setting - Lift/Tilt,,4786 psi,,4786 psi,990K Millyard Arrangement,113254,Hydraulic System - Lift/Tilt
"Cylinders, Double Acting - Lift, Bore And Stroke",,254 mm  1264 mm (10.0 in  49.8 in),,254 mm  1264 mm (10.0 in  49.8 in),990K Millyard Arrangement,113254,Hydraulic System - Lift/Tilt
"Cylinders, Double Acting - Tilt, Bore And Stroke",,317.5 mm  819 mm (12.5 in  32.2 in),,317.5 mm  819 mm (12.5 in  32.2 in),990K Millyard Arrangement,113254,Hydraulic System - Lift/Tilt
Pilot System,,Open loop and pressure reducing,,Open loop and pressure reducing,990K Millyard Arrangement,113254,Hydraulic System - Lift/Tilt
Lift/Tilt System,,Variable displacement piston,,Variable displacement piston,990K Millyard Arrangement,113254,Hydraulic System - Lift/Tilt
Relief Valve Setting,,507 psi,,507 psi,990K Millyard Arrangement,113254,Hydraulic System - Lift/Tilt
"Maximum Flow At 1,800 Rpm (1)",,216 gal/min,,216 gal/min,990K Millyard Arrangement,113254,Hydraulic System - Lift/Tilt
"Maximum Flow At 1,800 Rpm (2)",,22.2 gal/min,,22.2 gal/min,990K Millyard Arrangement,113254,Hydraulic System - Lift/Tilt
Steering System - Circuit,,"Pilot, load sensing",,"Pilot, load sensing",990K Millyard Arrangement,113254,Hydraulic System - Steering
Steering System - Pump,,"Piston, variable displacement",,"Piston, variable displacement",990K Millyard Arrangement,113254,Hydraulic System - Steering
Relief Valve Setting - Steering,,4641 psi,,4641 psi,990K Millyard Arrangement,113254,Hydraulic System - Steering
"Maximum Flow At 1,400 Rpm",,94.5 gal/min,,94.5 gal/min,990K Millyard Arrangement,113254,Hydraulic System - Steering
Machine Sound Level (Iso 6395:2008),,115 dB(A),,115 dB(A),990K Millyard Arrangement,113254,Sound Performance - Standard
Operator Sound Level (Iso 6396:2008),,69 dB(A),,69 dB(A),990K Millyard Arrangement,113254,Sound Performance - Standard
Operator Sound Level (Iso 6396:2008),,69 dB(A),,69 dB(A),990K Millyard Arrangement,113254,Sound Performance - Suppression
Machine Sound Level (Iso 6395:2008),,113 dB(A),,113 dB(A),990K Millyard Arrangement,113254,Sound Performance - Suppression
Ground To Top Of Rops,ft in,17.2,m,5.3,990K Millyard Arrangement,113254,Dimensions - Millyard Linkage - Approximate
Ground To Top Of Exhaust Stacks,ft in,16.6,m,5.1,990K Millyard Arrangement,113254,Dimensions - Millyard Linkage - Approximate
Ground To Top Of Hood,ft in,12.7,m,3.9,990K Millyard Arrangement,113254,Dimensions - Millyard Linkage - Approximate
Ground To Bumper Clearance,ft in,3.1,m,1,990K Millyard Arrangement,113254,Dimensions - Millyard Linkage - Approximate
Rear Axle - Centerline To Bumper,ft in,12.5,m,3.9,990K Millyard Arrangement,113254,Dimensions - Millyard Linkage - Approximate
Front Axle Centerline To Fork Tip,ft in,17.6,m,5.4,990K Millyard Arrangement,113254,Dimensions - Millyard Linkage - Approximate
Wheel Base,ft in,15.1,m,4.7,990K Millyard Arrangement,113254,Dimensions - Millyard Linkage - Approximate
Maximum Overall Length,ft in,45.4,m,13.9,990K Millyard Arrangement,113254,Dimensions - Millyard Linkage - Approximate
Ground To Lower Hitch Clearance,ft in,2,m,0.7,990K Millyard Arrangement,113254,Dimensions - Millyard Linkage - Approximate
Ground To Center Of Front Axle,ft in,3.9,m,1.2,990K Millyard Arrangement,113254,Dimensions - Millyard Linkage - Approximate
Fork Height With Level Arms,ft in,8.9,m,2.8,990K Millyard Arrangement,113254,Dimensions - Millyard Linkage - Approximate
Fork Top Clamp Opening,ft in,12.3,m,3.8,990K Millyard Arrangement,113254,Dimensions - Millyard Linkage - Approximate
Fork Height At Maximum Lift,ft in,18.3,m,5.6,990K Millyard Arrangement,113254,Dimensions - Millyard Linkage - Approximate
Hinge Pin Height At Maximum Lift,ft in,19.4,m,6,990K Millyard Arrangement,113254,Dimensions - Millyard Linkage - Approximate
Dump Angle At Maximum Lift,,29.3 degrees,,29.3 degrees,990K Millyard Arrangement,113254,Dimensions - Millyard Linkage - Approximate
Fork End Area,ft2,78,m2,7.3,990K Millyard Arrangement,113254,Forks
Net Power,hp,373,kw,278.2,986K,113255,Engine
Displacement,cu in,927,L,15.2,986K,113255,Engine
Torque Rise,%,16,%,16,986K,113255,Engine
Bore,in,5.4,mm,137.2,986K,113255,Engine
Stroke,in,6.8,mm,171.5,986K,113255,Engine
Emissions,,"Tier 4 Final/Stage IV, or China Nonroad StageIII and Brazil MAR-1 equivalent to Tier 3 andStage IIIA",,"Tier 4 Final/Stage IV, or China Nonroad StageIII and Brazil MAR-1 equivalent to Tier 3 andStage IIIA",986K,113255,Engine
Engine Model,,Cat C15 ACERT,,Cat C15 ACERT,986K,113255,Engine
Gross Power - Iso 14396,hp,449,kw,334.9,986K,113255,Engine
"Peak Torque - 1,200 Rpm - Sae J1995",lb ft,1778,Nm,2410.7,986K,113255,Engine
"Peak Power Speed - 1,600 Rpm - Sae J1995 (Din)",hp,462,kw,344.6,986K,113255,Engine
"Peak Power Speed - 1,600 Rpm - Iso 14396",hp,449,kw,334.9,986K,113255,Engine
"Peak Power Speed - 1,600 Rpm - Iso 14396 (Din)",hp,455,kw,339.3,986K,113255,Engine
"Rated Speed - 2,000 Rpm - Eec 80/1269",hp,373,kw,278.2,986K,113255,Engine
"Rated Speed - 2,000 Rpm - Eec 80/1269 (Din)",hp,378,kw,281.9,986K,113255,Engine
"Rated Speed - 2,000 Rpm - Iso 9249",hp,373,kw,278.2,986K,113255,Engine
"Rated Speed - 2,000 Rpm - Iso 9249 (Din)",hp,378,kw,281.9,986K,113255,Engine
"Rated Speed - 2,000 Rpm - Sae J1349",hp,373,kw,278.2,986K,113255,Engine
"Rated Speed - 2,000 Rpm - Sae J1349 (Din)",hp,378,kw,281.9,986K,113255,Engine
"Peak Power Speed - 1,600 Rpm - Sae J1995",hp,456,kw,340.1,986K,113255,Engine
Operating Weight,lb,98806,kg,44817.7,986K,113255,Operational
Transmission Type,,Cat Planetary Power Shift,,Cat Planetary Power Shift,986K,113255,Transmission
Forward - 1,mph,5,km/h,8.1,986K,113255,Transmission
Forward - 2,mph,8,km/h,12.9,986K,113255,Transmission
Reverse - 1,mph,5,km/h,8.1,986K,113255,Transmission
Reverse - 2,mph,8,km/h,12.9,986K,113255,Transmission
Direct Drive - Forward 3,mph,14,km/h,22.6,986K,113255,Transmission
Direct Drive - Reverse 3,mph,16,km/h,25.8,986K,113255,Transmission
Direct Drive - Forward 4,mph,24,km/h,38.7,986K,113255,Transmission
Direct Drive - Forward 2,mph,8,km/h,12.9,986K,113255,Transmission
Direct Drive - Reverse 2,mph,9,km/h,14.5,986K,113255,Transmission
Direct Drive - Reverse 4,mph,25.4,km/h,40.9,986K,113255,Transmission
Bucket Capacities,,5-10.3 m (6.5-13.5 yd),,5-10.3 m (6.5-13.5 yd),986K,113255,Buckets
Front,,Fixed,,Fixed,986K,113255,Axles
Rear,,Trunnion,,Trunnion,986K,113255,Axles
Oscillation Angle,,12.5 degrees,,12.5 degrees,986K,113255,Axles
Oscillation Angle - Chain Arrangement,,8.5 degrees,,8.5 degrees,986K,113255,Axles
Brakes,,ISO 3450:2011,,ISO 3450:2011,986K,113255,Brakes
Bucket Capacity Range,,5-10.3 m (6.5-13.5 yd),,5-10.3 m (6.5-13.5 yd),986K,113255,Operating Specifications
Cat Truck Match - Standard,,770/735/740/745,,770/735/740/745,986K,113255,Operating Specifications
Cat Truck Match - High Lift,,772/773,,772/773,986K,113255,Operating Specifications
Rated Payload - Quarry Face,lb,22000,kg,9979.1,986K,113255,Operating Specifications
Rated Payload - Loose Material (Standard),lb,28000,kg,12700.6,986K,113255,Operating Specifications
Rated Payload - Loose Material (High Lift),lb,24200,kg,10977,986K,113255,Operating Specifications
Rated Payload - Standard (Quarry Face),lb,22000,kg,9979.1,986K,113255,Operating Specifications
Rated Payload - Standard (Loose Material),lb,28000,kg,12700.6,986K,113255,Operating Specifications
Rated Payload - High Lift (Quarry Face),lb,22000,kg,9979.1,986K,113255,Operating Specifications
Rated Payload - High Lift (Loose Material),lb,24200,kg,10977,986K,113255,Operating Specifications
Operating Weight - Standard,lb,97785,kg,44354.6,986K,113255,Operating Specifications
Operating Weight - High Lift,lb,104005,kg,47175.9,986K,113255,Operating Specifications
Fuel Tank,gal,141,L,533.8,986K,113255,Service Refill Capacities
Crankcase,gal,9,L,34.1,986K,113255,Service Refill Capacities
Transmission,gal,20,L,75.8,986K,113255,Service Refill Capacities
Hydraulic System Factory Fill,gal,87,L,329.4,986K,113255,Service Refill Capacities
Hydraulic System - Tank Only,gal,34,L,128.8,986K,113255,Service Refill Capacities
Cooling Systems,gal,26,L,98.5,986K,113255,Service Refill Capacities
Diesel Exhaust Fluid Tank (For Tier 4 Final/Stage Iv Only),gal,6,L,22.8,986K,113255,Service Refill Capacities
Axle Oil - Differentials And Final Drives - Front,gal,49,L,185.5,986K,113255,Service Refill Capacities
Axle Oil - Differentials And Final Drives - Rear,gal,45,L,170.4,986K,113255,Service Refill Capacities
Fuel Tank - Short Lift,gal,127,L,480.8,986K,113255,Service Refill Capacities
Raise,,9 s,,9 s,986K,113255,Hydraulic Cycle Times
Dump,,3.5 s,,3.5 s,986K,113255,Hydraulic Cycle Times
Lower Float Down,,4.3 s,,4.3 s,986K,113255,Hydraulic Cycle Times
Rack Back,,4.5 s,,4.5 s,986K,113255,Hydraulic Cycle Times
Lower,,5.2 s,,5.2 s,986K,113255,Hydraulic Cycle Times
Total Hydraulic Cycle Time,,21.3 s,,21.3 s,986K,113255,Hydraulic Cycle Times
Lift/Tilt System - Circuit,,Load Sense,,Load Sense,986K,113255,Hydraulic System - Lift/Tilt
Lift/Tilt System - Pump,,2  110 cc variable displacement,,2  110 cc variable displacement,986K,113255,Hydraulic System - Lift/Tilt
Relief Valve Setting - Lift/Tilt,,4050 psi,,4050 psi,986K,113255,Hydraulic System - Lift/Tilt
"Maximum Flow At 2,165 Rpm",,123 gal/min,,123 gal/min,986K,113255,Hydraulic System - Lift/Tilt
Tilt Cylinder - Stroke,in,28.4,mm,721.4,986K,113255,Hydraulic System - Lift/Tilt
Lift Cylinder - Bore,in,7.5,mm,190.5,986K,113255,Hydraulic System - Lift/Tilt
Lift Cylinder - Stroke,in,45,mm,1143,986K,113255,Hydraulic System - Lift/Tilt
Tilt Cylinder - Bore,in,6.7,mm,170.2,986K,113255,Hydraulic System - Lift/Tilt
Iso 5010:2007 - Steering System - Circuit,,Load Sense,,Load Sense,986K,113255,Hydraulic System - Steering
Iso 5010:2007 - Steering System - Pump,,"Piston, variable displacement",,"Piston, variable displacement",986K,113255,Hydraulic System - Steering
Iso 5010:2007 - Total Steering Angle,,70 degrees,,70 degrees,986K,113255,Hydraulic System - Steering
"Iso 5010:2007 - Maximum Flow At 1,400 Rpm",,52 gal/min,,52 gal/min,986K,113255,Hydraulic System - Steering
Iso 5010:2007 - Steering Cutoff Pressure,,4000 psi,,4000 psi,986K,113255,Hydraulic System - Steering
Air Conditioning,,The air conditioning system on this machine contains the fluorinated greenhouse gas refrigerant R134a (Global Warming Potential = 1430). The system contains 1.8 kg of refrigerant which has a CO2 equivalent of 2.574 metric tonnes.,,The air conditioning system on this machine contains the fluorinated greenhouse gas refrigerant R134a (Global Warming Potential = 1430). The system contains 1.8 kg of refrigerant which has a CO2 equivalent of 2.574 metric tonnes.,986K,113255,Air Conditioning System
Rops/Fops,,ROPS/FOPS meet ISO 3471:2008 (ROPS) and ISO 3449:2005 Level II (FOPS),,ROPS/FOPS meet ISO 3471:2008 (ROPS) and ISO 3449:2005 Level II (FOPS),986K,113255,Operator'S Cab
Note,,<ul><li>The operator sound pressure level was measured according to thetest procedures and conditions specified in ISO 6396:2008. Themeasurement was conducted at 70 percent of the maximum engine cooling fan speed.</li><li>Hearing protection may be needed when the machine is operated with a cab that is not properly maintained or when the doors or windows are open for extended periods or in a noisy environment.</li><li>The machine sound power level was measured according to thetest procedures and conditions specified in ISO 6395:2008. Themeasurement was conducted at 70 percent of the maximum engine cooling fan speed.</li></ul>,,<ul><li>The operator sound pressure level was measured according to thetest procedures and conditions specified in ISO 6396:2008. Themeasurement was conducted at 70 percent of the maximum engine cooling fan speed.</li><li>Hearing protection may be needed when the machine is operated with a cab that is not properly maintained or when the doors or windows are open for extended periods or in a noisy environment.</li><li>The machine sound power level was measured according to thetest procedures and conditions specified in ISO 6395:2008. Themeasurement was conducted at 70 percent of the maximum engine cooling fan speed.</li></ul>,986K,113255,Sound Performance - Standard
